iter	Passed	Remaining
826	3504	733
827	3506	728
828	3509	723
829	3512	719
830	3517	715
831	3520	710
832	3524	706
833	3529	702
834	3532	698
835	3534	693
836	3536	688
837	3539	684
838	3546	680
839	3548	675
840	3551	671
841	3553	666
842	3555	662
843	3560	658
844	3562	653
845	3565	648
846	3567	644
847	3568	639
848	3571	635
849	3577	631
850	3579	626
851	3581	622
852	3584	617
853	3585	613
854	3592	609
855	3594	604
856	3596	600
857	3598	595
858	3600	591
859	3608	587
860	3610	582
861	3612	578
862	3615	574
863	3618	569
864	3621	565
865	3624	560
866	3625	556
867	3627	551
868	3630	547
869	3632	542
870	3637	538
871	3639	534
872	3641	529
873	3644	525
874	3646	520
875	3650	516
876	3653	512
877	3655	507
878	3657	503
879	3659	499
880	3661	494
881	3665	490
882	3667	485
883	3670	481
884	3672	477
885	3674	472
886	3677	468
887	3681	464
888	3684	460
889	3686	455
890	3688	451
891	3690	446
892	3693	442
893	3698	438
894	3701	434
895	3703	429
896	3705	425
897	3707	421
898	3710	416
899	3712	412
900	3715	408
901	3721	404
902	3723	399
903	3731	396
904	3733	391
905	3735	387
906	3737	383
907	3742	379
908	3745	374
909	3747	370
910	3749	366
911	3751	362
912	3759	358
913	3762	353
914	3764	349
915	3766	345
916	3768	341
917	3774	337
918	3777	332
919	3779	328
920	3782	324
921	3784	320
922	3791	316
923	3793	312
924	3795	307
925	3798	303
926	3800	299
927	3804	295
928	3807	290
929	3810	286
930	3812	282
931	3814	278
932	3820	274
933	3823	270
934	3825	265
935	3828	261
936	3830	257
937	3834	253
938	3836	249
939	3839	245
940	3842	240
941	3844	236
942	3847	232
943	3849	228
944	3852	224
945	3854	220
946	3856	215
947	3861	211
948	3864	207
949	3867	203
950	3869	199
951	3871	195
952	3879	191
953	3881	187
954	3884	183
955	3886	178
956	3887	174
957	3890	170
958	3895	166
959	3897	162
960	3900	158
961	3902	154
962	3904	150
963	3910	146
964	3913	141
965	3914	137
966	3917	133
967	3919	129
968	3923	125
969	3925	121
970	3928	117
971	3930	113
972	3933	109
973	3935	105
974	3941	101
975	3943	96
976	3945	92
977	3947	88
978	3950	84
979	3955	80
980	3958	76
981	3961	72
982	3963	68
983	3975	64
984	3977	60
985	3979	56
986	3982	52
987	3987	48
988	3989	44
989	3992	40
990	3994	36
991	3996	32
992	4000	28
993	4003	24
994	4006	20
995	4008	16
996	4012	12
997	4015	8
998	4017	4
999	4019	0
